id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1586142657415241728,1586000551438823425,2022-10-29 10:47:33 AEDT,2022-10-29,10:47:33,+1100,1442310488323280900,savan_2011,RKS,,"@NeilDotObrien UK deep state allowed anti-Hindu rioting 2 go ahead. Ur police stood quiet while Hindu temples were desecrated, Hindus stabbed &amp; Hindu families almost killed in their cars. Using rioters as mercenaries 2 target Hindus of Indian origin 2 punish India for not siding with u over Ukr",en,[],[],[],0,0,2,[],[],https://twitter.com/savan_2011/status/1586142657415241728,False,,0,,Melbourne,,,,,,"[{'screen_name': 'NeilDotObrien', 'name': ""Neil O'Brien MP"", 'id': '64679759'}]",,,,
1586138420773937152,1585638920335003653,2022-10-29 10:30:43 AEDT,2022-10-29,10:30:43,+1100,1442310488323280900,savan_2011,RKS,,"@pantlp India would have been a better place than if the great Royal houses continued to rule. What India has now is cheap socialism run by weak men, turning society chaotic &amp; cowardly.",en,[],[],[],1,2,19,[],[],https://twitter.com/savan_2011/status/1586138420773937152,False,,0,,Melbourne,,,,,,"[{'screen_name': 'pantlp', 'name': 'LP Pant', 'id': '101258092'}]",,,,
1586137126433083393,1586137126433083393,2022-10-29 10:25:34 AEDT,2022-10-29,10:25:34,+1100,286503582,altona_hc,Altona Hockey Club,,The U21 Australian Burras are into the final of the Sultan of Johor Cup against India tonight!   You can watch the game live here at 11.35pm -  https://t.co/UTcfVmGYS1  https://t.co/9r4bwYJCXB,en,[],['https://www.youtube.com/watch?v=7ALStFmQ78c&ab_channel=notthefootyshow'],['https://pbs.twimg.com/media/FgMXDijaAAAEaKu.jpg'],0,1,9,[],[],https://twitter.com/Altona_HC/status/1586137126433083393,False,,1,https://pbs.twimg.com/media/FgMXDijaAAAEaKu.jpg,Melbourne,,,,,,[],,,,
1586136227538997251,1586136227538997251,2022-10-29 10:22:00 AEDT,2022-10-29,10:22:00,+1100,46305783,micomfestival,Melbourne International Comedy Festival,,"Sit back, relax and fasten your seat belts, we’re off to India! @thedanesimpson and @wardyaknow are India bound with #MICF Roadshow this November.  Touching down in Mumbai, Pune, Delhi, Chennai and Bengaluru. Bon voyage!   https://t.co/GJ1oBE4EEF  https://t.co/Q8Vz2Ujdba",en,"[{'screen_name': 'thedanesimpson', 'name': 'dane simpson', 'id': '725897691209695233'}, {'screen_name': 'wardyaknow', 'name': 'alex ward', 'id': '24322794'}]",['https://www.comedyfestival.com.au/Roadshow-India-2022'],['https://pbs.twimg.com/media/FgI53cqVsAAvEmt.jpg'],1,1,11,['micf'],[],https://twitter.com/micomfestival/status/1586136227538997251,False,,1,https://pbs.twimg.com/media/FgI53cqVsAAvEmt.jpg,Melbourne,,,,,,[],,,,
1586131480186540032,1585936412649852930,2022-10-29 10:03:08 AEDT,2022-10-29,10:03:08,+1100,1201712843323666432,jefftonna1,jeff@tonna,,"@mcannonbrookes What a load of garbage🤦‍♂️ UK Germany are opening gas and coal mines renewables don’t work. China and India increasing coal power plants till at least 2040 and beyond. This article is pure doomer crap , a 2.5c warming by 2050 is not a credible outcome and pure doomer fantasy !",en,[],[],[],0,0,0,[],[],https://twitter.com/jefftonna1/status/1586131480186540032,False,,0,,Melbourne,,,,,,"[{'screen_name': 'mcannonbrookes', 'name': 'Mike Cannon-Brookes 👨🏼\u200d💻🧢🇦🇺', 'id': '11781162'}]",,,,
1586127379222913024,1586127379222913024,2022-10-29 09:46:50 AEDT,2022-10-29,09:46:50,+1100,1515298241654321156,kailash14639966,Kailash Tiwari,,15 lakhs deaths of road users in India in the last decade! An ongoing Pandemic  https://t.co/9i4vVHngyL,en,[],[],['https://pbs.twimg.com/media/FgMOcd0akAA0zjq.jpg'],0,0,0,[],[],https://twitter.com/Kailash14639966/status/1586127379222913024,False,,1,https://pbs.twimg.com/media/FgMOcd0akAA0zjq.jpg,Melbourne,,,,,,[],,,,
1586124404773203968,1586124404773203968,2022-10-29 09:35:01 AEDT,2022-10-29,09:35:01,+1100,796215762784391169,johnblackmanhey,JohnBlackman,,Gujarat: Tata to make military aircraft with Airbus in India  https://t.co/b51Mwxm0qn  https://t.co/xRsOwPAA2J,en,[],['http://WWW.BLACKMAN.COM.AU'],['https://pbs.twimg.com/media/FgMLu6kUUAAW86v.jpg'],0,0,0,[],[],https://twitter.com/johnblackmanhey/status/1586124404773203968,False,,1,https://pbs.twimg.com/media/FgMLu6kUUAAW86v.jpg,Melbourne,,,,,,[],,,,
1586121753536778240,1585587848736014340,2022-10-29 09:24:29 AEDT,2022-10-29,09:24:29,+1100,1048383139570114561,kanchristo,Christo Kan,,@Itsfake67300684 @dale_clown @MikeDen73662606 @faking_space Video and film footage.  Retro reflectors placed on the moon.  Moon samples returned to earth.  Independent verification by all nations at the time.  Independent verification by China and India prices in orbit around the moon if the landing sites.,en,[],[],[],2,0,0,[],[],https://twitter.com/KanChristo/status/1586121753536778240,False,,0,,Melbourne,,,,,,"[{'screen_name': 'Itsfake67300684', 'name': 'Equanimity', 'id': '1517276954952716289'}, {'screen_name': 'dale_clown', 'name': ""Dale D'Clown"", 'id': '1427004538368757769'}, {'screen_name': 'MikeDen73662606', 'name': 'Mike Dent', 'id': '1538513877700321280'}, {'screen_name': 'faking_space', 'name': 'Not A Globe.', 'id': '1195835286959378433'}]",,,,
1586117091496669184,1584034037600903170,2022-10-29 09:05:57 AEDT,2022-10-29,09:05:57,+1100,1445203418889392131,learnedprofesor,Learned Professor,,"@MumbaichaDon Chidambram as FM, MM as PM, sonia as NAC Chairman, kapil sibal as law minister, were all trustees of the Rajiv Gandhi Foundation. Was this a govt fund. Was there no conflict of interest? The donors incl CCCP, when India &amp; China had border dispute. Wow!!",en,[],[],[],0,0,0,[],[],https://twitter.com/learnedprofesor/status/1586117091496669184,False,,0,,Melbourne,,,,,,"[{'screen_name': 'MumbaichaDon', 'name': 'BhikuMhatre', 'id': '1444684244156968965'}]",,,,
1586106133701226496,1350884989639000066,2022-10-29 08:22:25 AEDT,2022-10-29,08:22:25,+1100,1251349661438275584,leighthomasau,Leigh Thomas,,@UnsignedArtsSC @_ButterflyMusic @AmenophisC @Bryan_Robinson_ @cuddleriot @Duemila12Music @FisjMusic @funkmonkeymetal @HandDrawnMapsLA @HeraldK12 @india_dupriez @Kortokrax3 @listentohook Thank you!,en,[],[],[],0,0,1,[],[],https://twitter.com/LeighThomasAU/status/1586106133701226496,False,,0,,Melbourne,,,,,,"[{'screen_name': 'UnsignedArtsSC', 'name': 'Unsigned Artists On Soundcloud', 'id': '4829330289'}, {'screen_name': '_ButterflyMusic', 'name': 'Finding Butterflies®', 'id': '772522100330344448'}, {'screen_name': 'AmenophisC', 'name': 'Amenophis Clone', 'id': '1175841257601536002'}, {'screen_name': 'Bryan_Robinson_', 'name': 'Bryan Robinson', 'id': '1123951902859956225'}, {'screen_name': 'cuddleriot', 'name': 'cuddle riot', 'id': '258979878'}, {'screen_name': 'Duemila12Music', 'name': 'DUEMILA12', 'id': '2871087171'}, {'screen_name': 'FisjMusic', 'name': 'Fisj 🌳', 'id': '1313490248597483521'}, {'screen_name': 'funkmonkeymetal', 'name': 'Brass Monkey', 'id': '1076218279893630976'}, {'screen_name': 'HandDrawnMapsLA', 'name': 'Hand Drawn Maps', 'id': '2368236259'}, {'screen_name': 'HeraldK12', 'name': 'Herald K - New Song Out Oct 31st', 'id': '1146449112142897152'}, {'screen_name': 'india_dupriez', 'name': 'india duprièz', 'id': '25016767'}, {'screen_name': 'Kortokrax3', 'name': 'Kortokrax', 'id': '1100881885662773248'}, {'screen_name': 'listentohook', 'name': 'Hook', 'id': '1104778889509945345'}]",,,,
